stock_name,stock_symbol,period,gross_profit_margin,operating_profit_margin,net_profit_margin,return_on_equity,debt_ratio,interest_coverage,current_ratio,quick_ratio,accounts_turnover,inventory_turnover,eps,book_value_per_share,date
上海商銀,5876,Q,0,0,25.72,1.32,90.3,0,0,0,0,0,0.43,35,2022-12-01 00:00:00
上海商銀,5876,Q,0,0,53.53,3.42,90.97,0,0,0,0,0,1.28,34.24,2022-09-01 00:00:00
上海商銀,5876,Q,0,0,44.98,2.25,90.86,0,0,0,0,0,0.81,33.33,2022-06-01 00:00:00
上海商銀,5876,Q,0,0,45.57,2.18,90.51,0,0,0,0,0,0.81,35.27,2022-03-01 00:00:00
合庫金,5880,Q,0,0,34.15,2.22,94.98,0,0,0,0,0,0.35,16.18,2023-03-01 00:00:00
合庫金,5880,Q,0,0,39.5,2.58,95.07,0,0,0,0,0,0.39,15.38,2022-12-01 00:00:00
合庫金,5880,Q,0,0,38.58,2.85,95.39,0,0,0,0,0,0.41,14.4,2022-09-01 00:00:00
合庫金,5880,Q,0,0,39.83,2.15,95.1,0,0,0,0,0,0.34,15.16,2022-06-01 00:00:00
合庫金,5880,Q,0,0,38.74,1.85,94.56,0,0,0,0,0,0.32,17.22,2022-03-01 00:00:00
上海商銀,5876,Y,0,0,42.82,8.78,90.3,0,0,0,0,0,3.33,35,2022-12-01 00:00:00
合庫金,5880,Y,0,0,39.14,8.98,95.07,0,0,0,0,0,1.45,15.38,2022-12-01 00:00:00
統領,2910,Q,87.3,48.13,49.42,2.33,56.88,6.97,99.75,54.75,11.91,0.03,0.32,13.94,2023-03-01 00:00:00
統領,2910,Q,46.35,23.17,18.22,1.49,58.11,5.38,93.5,51.7,16.73,0.21,0.2,13.61,2022-12-01 00:00:00
統領,2910,Q,45.36,22.79,16.72,1.51,58.97,5.24,93.93,46.46,22.35,0.19,0.2,13.4,2022-09-01 00:00:00
統領,2910,Q,72.05,32.28,14.08,0.72,59.95,2.22,84.79,36.98,15.12,0.05,0.09,13.21,2022-06-01 00:00:00
統領,2910,Q,42.72,17.59,4.84,0.39,60.58,3.17,103.14,43.29,17.39,0.15,0.05,13.06,2022-03-01 00:00:00
群益期,6024,Q,57.95,4.32,46.2,3.5,85.73,40.38,115.46,115.46,33.05,0,1.15,33.34,2023-03-01 00:00:00
群益期,6024,Q,59.46,15.14,35.22,3.61,86.44,41.29,114.65,114.65,55.26,0,1.15,32.23,2022-12-01 00:00:00
群益期,6024,Q,59.91,19.01,30.9,3.51,87.31,55.08,113.59,113.59,37.39,0,1.07,31.18,2022-09-01 00:00:00
群益期,6024,Q,57.88,17.4,23.32,2.52,88.18,62.71,112.43,112.43,23.89,0,0.76,29.83,2022-06-01 00:00:00
群益期,6024,Q,59.28,18.67,22.75,2.44,87.6,107.42,113.14,113.14,25.77,0,0.74,30.56,2022-03-01 00:00:00
群益期,6024,Y,59.14,17.58,28.1,11.97,86.44,55.74,114.65,114.65,171.21,0,3.72,32.23,2022-12-01 00:00:00
統領,2910,Y,49.36,23.09,13.54,4.03,58.11,4.14,93.5,51.7,55.41,0.6,0.55,13.61,2022-12-01 00:00:00
益航,2601,Q,67.7,12.26,3.83,0.43,64.69,1.27,83.66,47.89,3.12,0.28,0.08,12.8,2023-03-01 00:00:00
益航,2601,Q,67.52,5.4,-17.34,-1.87,61.85,0.13,89.84,54.73,2.92,0.3,-0.09,12.76,2022-12-01 00:00:00
益航,2601,Q,68.03,7.78,-6.44,-0.7,61.65,0.99,82.83,50.97,2.87,0.32,-0.03,13.18,2022-09-01 00:00:00
益航,2601,Q,67.2,9.53,-4.14,-0.46,63.9,0.8,85.14,56.89,2.68,0.36,0,12.66,2022-06-01 00:00:00
益航,2601,Q,70.04,14.47,3.75,0.49,66.48,1.53,87.57,58.29,3.18,0.39,0.13,12.53,2022-03-01 00:00:00
益航,2601,Y,68.27,9.51,-5.62,-2.64,61.85,0.84,89.84,54.73,11.77,1.29,0.01,12.76,2022-12-01 00:00:00
永豐金,2890,Q,0,0,37.05,2.9,93.53,0,0,0,0,0,0.41,14.32,2023-03-01 00:00:00
永豐金,2890,Q,0,0,29.63,2.01,94.05,0,0,0,0,0,0.27,13.53,2022-12-01 00:00:00
永豐金,2890,Q,0,0,36.42,3.18,94.11,0,0,0,0,0,0.41,12.97,2022-09-01 00:00:00
永豐金,2890,Q,0,0,32.93,2.45,93.79,0,0,0,0,0,0.34,13.15,2022-06-01 00:00:00
永豐金,2890,Q,0,0,35.24,2.7,93.26,0,0,0,0,0,0.39,14.49,2022-03-01 00:00:00
永豐金,2890,Y,0,0,33.78,10.08,94.05,0,0,0,0,0,1.4,13.53,2022-12-01 00:00:00
麗嬰房,2911,Q,39.97,-12.76,-11.34,-7.07,68.86,-3.83,98.37,38.65,2.5,0.43,-0.54,6.58,2023-03-01 00:00:00
麗嬰房,2911,Q,37.52,-16.07,-16.29,-11.39,68.69,-6.56,98.58,37.35,2.63,0.47,-0.88,7.13,2022-12-01 00:00:00
麗嬰房,2911,Q,39.84,-19.29,-20.35,-10.64,67.74,-7.85,103.58,34.03,2.35,0.34,-0.92,7.89,2022-09-01 00:00:00
麗嬰房,2911,Q,40.64,-32.05,-30.03,-10.89,64.38,-9.69,111.35,36.55,1.83,0.25,-1.06,8.77,2022-06-01 00:00:00
麗嬰房,2911,Q,47.15,-12.95,-11.76,-5.34,63.19,-4.19,118.94,42.6,2.08,0.3,-0.56,9.92,2022-03-01 00:00:00
麗嬰房,2911,Y,41.19,-19.13,-18.77,-37.97,68.69,-7.05,98.58,37.35,7.9,1.46,-3.42,7.13,2022-12-01 00:00:00
農林,2913,Q,28.48,-42.18,-64.5,-0.49,40.37,-1.05,374.2,38.65,3.02,0.07,-0.08,16.36,2023-03-01 00:00:00
農林,2913,Q,41.65,-52.01,-1692.76,-11.36,40.57,-46.78,128.41,27.31,2.89,0.06,-1.98,16.44,2022-12-01 00:00:00
農林,2913,Q,43.78,-26.83,-35.58,-0.26,39.84,-0.42,384.3,35.91,3.91,0.07,-0.05,18.42,2022-09-01 00:00:00
農林,2913,Q,47.04,-57.67,-73.82,-0.4,39.63,-1.28,279.45,38.58,3.26,0.05,-0.07,18.47,2022-06-01 00:00:00
農林,2913,Q,42.98,-32.68,27.14,0.18,39.32,2.07,272.35,37.07,3.17,0.06,0.03,18.54,2022-03-01 00:00:00
農林,2913,Y,43.74,-41.03,-433.72,-11.82,40.57,-13.46,128.41,27.31,10.88,0.23,-2.07,16.44,2022-12-01 00:00:00
大魯閣,1432,Q,42.49,7,4.36,1.82,84.51,1.86,66.67,32.62,7.51,0.61,0.17,8.43,2023-03-01 00:00:00
大魯閣,1432,Q,29.64,-3.86,-1.72,-0.68,85.08,0.78,79.49,44.69,6.3,0.71,-0.04,8.11,2022-12-01 00:00:00
大魯閣,1432,Q,49.1,14.88,11.78,5.41,84.48,3.68,77.14,38.99,7.78,0.58,0.45,8.14,2022-09-01 00:00:00
大魯閣,1432,Q,29.51,-22.96,-31.91,-9.77,85.14,-4.18,71.77,30.46,5.37,0.56,-0.77,7.66,2022-06-01 00:00:00
大魯閣,1432,Q,40.68,2.85,0.46,0.16,83.61,1.09,79.43,40.14,6.27,0.57,0.01,8.74,2022-03-01 00:00:00
大魯閣,1432,Y,38,-0.59,-3.34,-4.93,85.08,0.39,79.49,44.69,24.01,2.46,-0.35,8.11,2022-12-01 00:00:00
欣欣,2901,Q,83.72,15.39,17.46,0.62,11.99,224.23,904.53,891.1,7.67,1.35,0.07,11.94,2023-03-01 00:00:00
欣欣,2901,Q,78.31,2.38,9.42,0.31,12.84,107.13,778.96,769.06,4.15,1.96,0.04,11.86,2022-12-01 00:00:00
欣欣,2901,Q,80.92,1.85,18.9,0.55,12.6,178.06,825.79,813.82,3.29,1.74,0.07,11.82,2022-09-01 00:00:00
欣欣,2901,Q,82.41,6.63,13.05,0.44,12.58,145.24,818.91,809.11,5.18,1.92,0.05,11.76,2022-06-01 00:00:00
欣欣,2901,Q,83.29,14.23,18,0.65,12.23,193.69,875.41,863.49,6.8,1.9,0.08,11.78,2022-03-01 00:00:00
欣欣,2901,Y,81.28,6.56,14.78,1.95,12.84,157.54,778.96,769.06,20.51,7.51,0.23,11.86,2022-12-01 00:00:00
第一金,2892,Q,0,0,37.37,2.88,94.45,0,0,0,0,0,0.5,17.88,2023-03-01 00:00:00
第一金,2892,Q,0,0,26.79,1.89,94.61,0,0,0,0,0,0.32,16.95,2022-12-01 00:00:00
第一金,2892,Q,0,0,31.23,2.88,94.6,0,0,0,0,0,0.47,16.44,2022-09-01 00:00:00
第一金,2892,Q,0,0,31.32,2.39,94.63,0,0,0,0,0,0.4,16.42,2022-06-01 00:00:00
第一金,2892,Q,0,0,31.96,2.17,94.1,0,0,0,0,0,0.38,17.79,2022-03-01 00:00:00
第一金,2892,Y,0,0,30.4,9.18,94.61,0,0,0,0,0,1.56,16.95,2022-12-01 00:00:00
遠百,2903,Q,55.61,17.79,12.62,2.84,65.32,7.61,46.2,39.43,8.73,1.69,0.56,23.07,2023-03-01 00:00:00
遠百,2903,Q,52.02,16.69,7.78,2.22,68.05,5.9,48.18,43.04,10.78,2.17,0.44,22.39,2022-12-01 00:00:00
遠百,2903,Q,56.49,12.25,12.36,2.6,67.29,6.64,35.82,29.51,11.02,1.45,0.56,21.81,2022-09-01 00:00:00
遠百,2903,Q,54.94,4.06,0.17,0.03,68.06,1.51,37.5,31.6,10.14,1.31,-0.02,21.47,2022-06-01 00:00:00
遠百,2903,Q,52.98,13.69,8.69,1.95,67.28,5.97,43.67,36.66,8.76,1.67,0.38,22.69,2022-03-01 00:00:00
統一超,2912,Q,34.24,4.56,4.31,6.89,78.68,13.72,88.24,59.9,12.13,2.36,2.71,37.66,2023-03-01 00:00:00
